고객id,작성일,인입 카테고리,문의내용,처리 일시
2A2Q7,2026-08-01 09:15:26,배송문의,택배가 3일째 그대로 멈춰있어요. 빨리 좀 처리해주세요 정말 답답하네요,2026-08-04 00:56:24
G57P7,2026-08-01 01:53:34,제품문의,구성품이 빠진 채로 왔어요,2026-08-05 04:59:52
HF137,2026-08-01 12:39:21,입고일정,입고 지연 사유가 궁금해요,2026-08-03 01:00:50
8Z6J5,2026-08-01 13:20:50,제품문의,정품인지 확인하고 싶어요,2026-08-02 12:35:17
4W83W,2026-08-04 05:45:46,배송문의,운송장 번호가 조회되지 않아요. 화가 나요 언제까지 기다려야 하나요,2026-08-07 11:33:09
S93E6,2026-08-01 16:17:35,제품문의,제품 사이즈가 실제와 다른 것 같아요,2026-08-05 12:10:31
K975B,2026-08-02 17:36:51,반품/교환/환불,환불 처리가 언제 완료되나요. 너무 실망스럽습니다 확인 부탁드려요,2026-08-04 05:31:54
54TO7,2026-08-02 02:28:45,배송문의,택배가 3일째 그대로 멈춰있어요. 속상해요 빠른 확인 부탁드립니다,2026-08-03 00:44:17
UQ340,2026-08-02 09:21:56,기타,개인정보 수정이 안 됩니다,2026-08-04 00:13:29
1T0I2,2026-08-04 14:55:42,기타,고객센터 연결이 계속 안돼요,2026-08-05 19:53:48
75T5D,2026-08-02 08:35:01,반품/교환/환불,불량품이라 전액 환불받고 싶어요. 짜증나요 빠르게 해결해주셨으면 해요,2026-08-03 19:27:22
904WB,2026-08-07 16:08:30,제품문의,정품인지 확인하고 싶어요,2026-08-07 20:56:40
W572L,2026-08-06 07:36:21,기타,이벤트 당첨 여부 확인 부탁드려요,2026-08-06 16:25:01
B505G,2026-08-03 18:41:02,배송문의,배송이 언제 도착하는지 궁금해요. 불쾌합니다 즉시 확인해주세요,2026-08-05 18:48:21
6GB21,2026-08-05 22:33:53,제품문의,색상이 사진과 많이 달라요,2026-08-06 05:37:22
84J0R,2026-08-02 07:49:36,제품문의,사용법을 자세히 알려주세요,2026-08-03 11:31:40
D814N,2026-08-01 14:44:05,기타,개인정보 수정이 안 됩니다,2026-08-01 19:01:59
48Z1Y,2026-08-05 14:23:02,배송문의,물건이 파손된 채로 배송됐어요. 너무 화가 나서 강력히 항의합니다,2026-08-06 09:41:43
U2Y67,2026-08-04 14:25:20,제품문의,제품 사이즈가 실제와 다른 것 같아요,2026-08-07 21:23:06
40BI9,2026-08-03 06:07:31,배송문의,택배가 3일째 그대로 멈춰있어요. 많이 실망했어요 신속 처리 부탁드려요,2026-08-07 08:27:36
59K5W,2026-08-04 03:57:12,제품문의,제품에 하자가 있는 것 같아요,2026-08-05 14:42:52
64D9G,2026-08-01 21:20:19,기타,포인트 적립이 안 되고 있어요,2026-08-05 02:35:01
JD202,2026-08-07 17:32:22,반품/교환/환불,사이즈가 안 맞아서 교환 원해요. 속상하고 불편해요 빠른 조치 원합니다,2026-08-07 18:45:42
12G7X,2026-08-07 03:12:39,입고일정,재입고 알림 신청이 가능한가요,2026-08-07 05:03:37
C07L2,2026-08-07 16:41:18,입고일정,입고 지연 사유가 궁금해요,2026-08-07 16:46:34
0C1Y6,2026-08-01 12:11:00,반품/교환/환불,교환 신청 후 답변이 없어요. 화가 많이 나요 꼭 보상해주세요,2026-08-01 23:48:12
72XF1,2026-08-03 03:34:12,입고일정,품절 상품 재입고는 언제인가요,2026-08-04 05:41:28
88T9I,2026-08-05 15:25:24,배송문의,다른 주소로 잘못 배송된 것 같아요. 답답하고 불편합니다 빠른 답변 주세요,2026-08-06 07:37:13
883FX,2026-08-05 20:03:41,반품/교환/환불,불량품이라 전액 환불받고 싶어요. 당황스럽고 불쾌해요 확인 부탁드립니다,2026-08-06 01:06:59
H3Z69,2026-08-04 04:05:03,제품문의,정품인지 확인하고 싶어요,2026-08-04 09:39:20
73LC6,2026-08-04 02:11:35,배송문의,물건이 파손된 채로 배송됐어요. 정말 불편했어요 재발 방지 부탁드립니다,2026-08-04 02:26:21
9N76U,2026-08-05 00:10:39,기타,쿠폰이 적용되지 않아요,2026-08-07 00:29:02
SW433,2026-08-03 07:52:38,입고일정,사전예약 상품 발송일이 언제인가요,2026-08-05 15:05:39
35X6R,2026-08-06 05:12:50,기타,고객센터 연결이 계속 안돼요,2026-08-07 04:40:45
429ML,2026-08-02 03:12:03,제품문의,정품인지 확인하고 싶어요,2026-08-03 11:54:59
06D9U,2026-08-05 15:50:30,입고일정,인기 색상 재입고 예정 있나요,2026-08-06 09:36:29
88DR8,2026-08-01 14:37:37,기타,포인트 적립이 안 되고 있어요,2026-08-03 01:58:30
LU659,2026-08-02 22:21:29,입고일정,인기 색상 재입고 예정 있나요,2026-08-04 12:06:20
7T42V,2026-08-04 11:13:27,제품문의,정품인지 확인하고 싶어요,2026-08-06 12:08:07
216IO,2026-08-05 00:22:34,기타,이벤트 당첨 여부 확인 부탁드려요,2026-08-06 06:39:06
39V7B,2026-08-05 06:27:25,반품/교환/환불,환불 금액이 잘못 입금됐어요. 너무 속상하고 화가 납니다,2026-08-07 20:36:11
57X7V,2026-08-06 06:56:47,입고일정,품절 상품 재입고는 언제인가요,2026-08-07 11:15:43
414IR,2026-08-02 00:27:05,입고일정,다음 입고 일정이 궁금합니다,2026-08-07 06:41:44
M3B32,2026-08-01 23:51:24,입고일정,품절 상품 재입고는 언제인가요,2026-08-06 12:56:28
Z367O,2026-08-01 05:56:09,기타,포인트 적립이 안 되고 있어요,2026-08-04 03:25:01
2D6R5,2026-08-02 23:42:00,반품/교환/환불,사이즈가 안 맞아서 교환 원해요. 빠른 처리 꼭 부탁드립니다,2026-08-06 11:58:37
396AI,2026-08-02 05:40:51,반품/교환/환불,사이즈가 안 맞아서 교환 원해요. 빨리 좀 처리해주세요 정말 답답하네요,2026-08-07 01:38:23
4UZ33,2026-08-06 22:46:53,배송문의,물건이 파손된 채로 배송됐어요. 화가 나요 언제까지 기다려야 하나요,2026-08-07 11:58:05
Q7V47,2026-08-04 06:10:33,반품/교환/환불,반품 신청했는데 수거가 안 와요. 너무 실망스럽습니다 확인 부탁드려요,2026-08-04 18:47:49
56LH7,2026-08-03 04:57:52,입고일정,다음 입고 일정이 궁금합니다,2026-08-05 08:38:22
